win,lose,probability
Cleveland Cavaliers,New York Knicks,0.872817388329561
Golden State Warriors,San Antonio Spurs,0.5433674525500614
Portland Trail Blazers,Utah Jazz,0.5676845210915539
Boston Celtics,Brooklyn Nets,0.8468019097881372
Indiana Pacers,Dallas Mavericks,0.586451853480976
Houston Rockets,Los Angeles Lakers,0.902320824235821
Memphis Grizzlies,Minnesota Timberwolves,0.5457041243619206
Charlotte Hornets,Milwaukee Bucks,0.7832628237791917
Denver Nuggets,New Orleans Pelicans,0.6194237385374989
Miami Heat,Orlando Magic,0.7149110265651542
Oklahoma City Thunder,Philadelphia 76ers,0.9850099423263444
Sacramento Kings,Phoenix Suns,0.7584662845266623
Toronto Raptors,Detroit Pistons,0.6975677026074231
Atlanta Hawks,Washington Wizards,0.6344599785732503
Boston Celtics,Chicago Bulls,0.5791968673868921
Los Angeles Clippers,Portland Trail Blazers,0.5949026536970465
San Antonio Spurs,Sacramento Kings,0.9137786674524723
Indiana Pacers,Brooklyn Nets,0.8933360723821827
Dallas Mavericks,Houston Rockets,0.5045225717788672
Detroit Pistons,Orlando Magic,0.614685609164623
Miami Heat,Charlotte Hornets,0.5355330930607007
Golden State Warriors,New Orleans Pelicans,0.9379087355837408
Oklahoma City Thunder,Phoenix Suns,0.8988256817252928
Toronto Raptors,Cleveland Cavaliers,0.5071706247281992
Utah Jazz,Los Angeles Lakers,0.8409783198632864
Indiana Pacers,Chicago Bulls,0.5249763743389899
Charlotte Hornets,Boston Celtics,0.5067447229946825
Cleveland Cavaliers,Orlando Magic,0.8363309397588959
Portland Trail Blazers,Denver Nuggets,0.7999979854290187
Milwaukee Bucks,Brooklyn Nets,0.5508259082797945
Memphis Grizzlies,New York Knicks,0.6848059669586408
Atlanta Hawks,Philadelphia 76ers,0.9685234155630078
Minnesota Timberwolves,Sacramento Kings,0.5396118260069321
San Antonio Spurs,New Orleans Pelicans,0.9035510654584316
Detroit Pistons,Milwaukee Bucks,0.6381389154268805
Houston Rockets,Dallas Mavericks,0.5152473741902427
Los Angeles Clippers,Utah Jazz,0.6794990173547184
Washington Wizards,Memphis Grizzlies,0.5663333620492943
San Antonio Spurs,Miami Heat,0.7780377557756686
Oklahoma City Thunder,Los Angeles Lakers,0.9378845362598024
Golden State Warriors,Phoenix Suns,0.9658101957734508
Atlanta Hawks,Sacramento Kings,0.7106219796165785
Chicago Bulls,Brooklyn Nets,0.8532867344488835
Los Angeles Clippers,Phoenix Suns,0.87388029094182
Toronto Raptors,Denver Nuggets,0.7956639739369182
Cleveland Cavaliers,Houston Rockets,0.7943429898786637
Detroit Pistons,New York Knicks,0.6817825509889264
Indiana Pacers,Los Angeles Lakers,0.8707094244591005
Miami Heat,Sacramento Kings,0.699390312338948
Memphis Grizzlies,Minnesota Timberwolves,0.7456395272644385
Milwaukee Bucks,New Orleans Pelicans,0.6190517544147853
Orlando Magic,Philadelphia 76ers,0.9364434331436345
Golden State Warriors,Portland Trail Blazers,0.8237148580740921
San Antonio Spurs,Utah Jazz,0.8260801724237651
Atlanta Hawks,Los Angeles Lakers,0.9029479236353896
Boston Celtics,Chicago Bulls,0.6531851699082458
Detroit Pistons,Brooklyn Nets,0.8768780543852489
Charlotte Hornets,Philadelphia 76ers,0.9283824127293463
Oklahoma City Thunder,Los Angeles Clippers,0.6055129134542883
Memphis Grizzlies,New Orleans Pelicans,0.5930779932042881
Houston Rockets,New York Knicks,0.6833524507659026
Portland Trail Blazers,Phoenix Suns,0.9008789575699206
Utah Jazz,Dallas Mavericks,0.5268730916150386
Toronto Raptors,Washington Wizards,0.7017848783838327
Cleveland Cavaliers,Boston Celtics,0.6952118677827117
Golden State Warriors,Oklahoma City Thunder,0.670399428890092
Indiana Pacers,Milwaukee Bucks,0.775097418466452
Denver Nuggets,Minnesota Timberwolves,0.6660170166661352
Sacramento Kings,Orlando Magic,0.5277976529831792
Charlotte Hornets,Brooklyn Nets,0.8977748234124386
Chicago Bulls,New York Knicks,0.6861164549259835
Portland Trail Blazers,Dallas Mavericks,0.667589734059995
Golden State Warriors,Los Angeles Lakers,0.9832536548604193
Los Angeles Clippers,Memphis Grizzlies,0.7229611613784444
New Orleans Pelicans,Phoenix Suns,0.5703614357265046
Toronto Raptors,Miami Heat,0.6271865776405818
San Antonio Spurs,Utah Jazz,0.8538533783491284
Atlanta Hawks,Washington Wizards,0.6066905514962599
Atlanta Hawks,Houston Rockets,0.6343818374393998
Detroit Pistons,Denver Nuggets,0.6377745268123202
Indiana Pacers,Chicago Bulls,0.5708542587616077
Sacramento Kings,Milwaukee Bucks,0.6417019953359635
Oklahoma City Thunder,Minnesota Timberwolves,0.815454282208473
Washington Wizards,Orlando Magic,0.612614061642426
Cleveland Cavaliers,Philadelphia 76ers,0.9805871982852161
San Antonio Spurs,Los Angeles Clippers,0.7112405613525642
Boston Celtics,Denver Nuggets,0.7219513260620167
Dallas Mavericks,Milwaukee Bucks,0.5982568971085073
Phoenix Suns,Los Angeles Lakers,0.7454164164737433
Portland Trail Blazers,Memphis Grizzlies,0.7276314035960897
Utah Jazz,New York Knicks,0.6909351667290604
Toronto Raptors,Sacramento Kings,0.7905456152159871
Chicago Bulls,Orlando Magic,0.619423228612972
Charlotte Hornets,Indiana Pacers,0.5613072449823925
Golden State Warriors,New Orleans Pelicans,0.928851103365762
Los Angeles Clippers,Detroit Pistons,0.6551181969100577
Oklahoma City Thunder,Miami Heat,0.6398170210272838
Utah Jazz,Philadelphia 76ers,0.9528131985202909
Washington Wizards,Houston Rockets,0.5057685997429229
Minnesota Timberwolves,Brooklyn Nets,0.7969744377161672
Cleveland Cavaliers,Atlanta Hawks,0.7098813738908049
Dallas Mavericks,Los Angeles Lakers,0.89108338097346
Memphis Grizzlies,Denver Nuggets,0.5277951411631511
Portland Trail Blazers,Phoenix Suns,0.8110200226700813
Sacramento Kings,New Orleans Pelicans,0.5086481593955916
Atlanta Hawks,Chicago Bulls,0.6476005222791776
Charlotte Hornets,Utah Jazz,0.6267765621815845
Golden State Warriors,Dallas Mavericks,0.8856088794738726
Indiana Pacers,Philadelphia 76ers,0.9034628411662124
Los Angeles Clippers,Portland Trail Blazers,0.5178297576312073
New York Knicks,Brooklyn Nets,0.5902238917493948
Oklahoma City Thunder,Toronto Raptors,0.5390177573297116
Minnesota Timberwolves,Orlando Magic,0.5020196633618297
Detroit Pistons,Phoenix Suns,0.8370942043857633
San Antonio Spurs,Houston Rockets,0.8310898344331049
Boston Celtics,Washington Wizards,0.6233121045087594
Golden State Warriors,Denver Nuggets,0.9255522101188277
Miami Heat,Chicago Bulls,0.6351785612271487
New Orleans Pelicans,Milwaukee Bucks,0.5710548320284436
Sacramento Kings,Los Angeles Lakers,0.744597617629257
Boston Celtics,New York Knicks,0.7595875155468506
Toronto Raptors,Charlotte Hornets,0.5805912243801599
Oklahoma City Thunder,Los Angeles Clippers,0.5849972748108085
Utah Jazz,Orlando Magic,0.6210304126458445
Indiana Pacers,Philadelphia 76ers,0.9636399946242158
Portland Trail Blazers,Sacramento Kings,0.6581428311668863
San Antonio Spurs,Detroit Pistons,0.8097275540307852
Cleveland Cavaliers,Washington Wizards,0.7168951476778124
Atlanta Hawks,Philadelphia 76ers,0.9282076966313354
Chicago Bulls,Washington Wizards,0.5517058430741958
Detroit Pistons,Denver Nuggets,0.6933902359153169
San Antonio Spurs,Houston Rockets,0.8595716454209893
Boston Celtics,Indiana Pacers,0.5741529412654265
Miami Heat,Utah Jazz,0.6134357765165478
Memphis Grizzlies,Milwaukee Bucks,0.7184588597449018
Los Angeles Clippers,Minnesota Timberwolves,0.8532995962507971
New Orleans Pelicans,Los Angeles Lakers,0.6929002985691959
Brooklyn Nets,Phoenix Suns,0.5884404621748308
Toronto Raptors,New York Knicks,0.8257310041926653
Cleveland Cavaliers,Charlotte Hornets,0.7303948699684883
Golden State Warriors,Phoenix Suns,0.9558156126671732
Minnesota Timberwolves,Los Angeles Lakers,0.6480757188272279
Oklahoma City Thunder,Orlando Magic,0.7883734257662561
Portland Trail Blazers,Denver Nuggets,0.6651261242083741
Oklahoma City Thunder,Detroit Pistons,0.7365385369069757
Houston Rockets,Philadelphia 76ers,0.8752282635117108
Indiana Pacers,Orlando Magic,0.6242818363477233
Los Angeles Clippers,Brooklyn Nets,0.8722339004364636
Boston Celtics,New Orleans Pelicans,0.800966790737769
Dallas Mavericks,New York Knicks,0.6565134144977498
San Antonio Spurs,Miami Heat,0.7563303279211122
Memphis Grizzlies,Utah Jazz,0.5051388175088343
Cleveland Cavaliers,Toronto Raptors,0.615955983962261
Brooklyn Nets,Los Angeles Lakers,0.7482252631562314
Miami Heat,Atlanta Hawks,0.5101369754885061
Charlotte Hornets,Minnesota Timberwolves,0.8058775748800131
Portland Trail Blazers,Chicago Bulls,0.5902818924849909
Atlanta Hawks,Milwaukee Bucks,0.7173142477792742
Boston Celtics,Dallas Mavericks,0.6675331565443837
Denver Nuggets,Phoenix Suns,0.6172945856126382
Cleveland Cavaliers,Indiana Pacers,0.6735526358522892
Los Angeles Clippers,Memphis Grizzlies,0.6856840486803759
Detroit Pistons,New York Knicks,0.7138897788493768
Oklahoma City Thunder,Houston Rockets,0.7379375217843973
Orlando Magic,New Orleans Pelicans,0.5461922675570761
Washington Wizards,Philadelphia 76ers,0.9511860824045528
San Antonio Spurs,Sacramento Kings,0.9137786674524723
Golden State Warriors,Toronto Raptors,0.7044403957162049
Portland Trail Blazers,Houston Rockets,0.6847769332030327
Miami Heat,Milwaukee Bucks,0.7062349508335046
Minnesota Timberwolves,Philadelphia 76ers,0.7190294716445391
Utah Jazz,Chicago Bulls,0.5109024650709652
Washington Wizards,New York Knicks,0.6451693656304142
Golden State Warriors,Boston Celtics,0.7813896116195049
Charlotte Hornets,Atlanta Hawks,0.5242780809733859
Cleveland Cavaliers,Detroit Pistons,0.7696215565701255
Dallas Mavericks,Memphis Grizzlies,0.5028412458936834
Toronto Raptors,Denver Nuggets,0.8248811386177551
Indiana Pacers,Phoenix Suns,0.7984859395848274
San Antonio Spurs,Los Angeles Lakers,0.9815596310744201
Portland Trail Blazers,New Orleans Pelicans,0.8293512810385161
Oklahoma City Thunder,Brooklyn Nets,0.8974667251703068
Los Angeles Clippers,Sacramento Kings,0.7860547124580237
Boston Celtics,Detroit Pistons,0.5840755826370903
Utah Jazz,Houston Rockets,0.52390462230077
Los Angeles Clippers,Chicago Bulls,0.6993471593101872
Memphis Grizzlies,Minnesota Timberwolves,0.5457041243619206
Golden State Warriors,Milwaukee Bucks,0.9415584619544505
Charlotte Hornets,New Orleans Pelicans,0.7721199737431648
Dallas Mavericks,Orlando Magic,0.5835161010990395
Phoenix Suns,Philadelphia 76ers,0.8606936561061349
Miami Heat,Washington Wizards,0.6076943398836823
Portland Trail Blazers,Brooklyn Nets,0.9264542683438868
Utah Jazz,Denver Nuggets,0.6695522402558537
Chicago Bulls,Los Angeles Lakers,0.8971392218752736
Atlanta Hawks,New York Knicks,0.7730684240697367
Oklahoma City Thunder,Indiana Pacers,0.6743791939927973
Toronto Raptors,Sacramento Kings,0.8158138377932539
Charlotte Hornets,Memphis Grizzlies,0.6334301536906943
Detroit Pistons,Houston Rockets,0.5466585929035701
Golden State Warriors,Indiana Pacers,0.8350039728991685
Toronto Raptors,Los Angeles Clippers,0.5230195394360859
Orlando Magic,Milwaukee Bucks,0.6570627005934184
Boston Celtics,Minnesota Timberwolves,0.8313842972025863
Miami Heat,Philadelphia 76ers,0.9686514650185601
San Antonio Spurs,Dallas Mavericks,0.8474574751174204
Washington Wizards,Phoenix Suns,0.7635141645832721
Atlanta Hawks,New Orleans Pelicans,0.7676358251653136
Chicago Bulls,Denver Nuggets,0.648725119298247
Oklahoma City Thunder,Los Angeles Lakers,0.9688867862544959
Portland Trail Blazers,New York Knicks,0.8152688007859067
Boston Celtics,Brooklyn Nets,0.9125174952227889
San Antonio Spurs,Charlotte Hornets,0.7681033439417755
Cleveland Cavaliers,Portland Trail Blazers,0.6538285334501935
Los Angeles Clippers,Dallas Mavericks,0.6623676847350011
Miami Heat,Detroit Pistons,0.5679586225155921
Golden State Warriors,Los Angeles Lakers,0.9735213558667755
Toronto Raptors,Houston Rockets,0.7189592863958125
Atlanta Hawks,Indiana Pacers,0.5569042215583605
Minnesota Timberwolves,New Orleans Pelicans,0.6023029626584413
Orlando Magic,Phoenix Suns,0.6660375145536038
Memphis Grizzlies,Philadelphia 76ers,0.951512963382467
Oklahoma City Thunder,Sacramento Kings,0.861115426960619
Utah Jazz,Denver Nuggets,0.5901797880872983
San Antonio Spurs,Boston Celtics,0.7641730938273323
Cleveland Cavaliers,Dallas Mavericks,0.8134722710825129
Oklahoma City Thunder,Denver Nuggets,0.8683125635551833
Los Angeles Clippers,Detroit Pistons,0.6235808524571501
Indiana Pacers,Brooklyn Nets,0.7960849972799994
Golden State Warriors,Los Angeles Lakers,0.9832536548604193
Miami Heat,Memphis Grizzlies,0.6743552184525083
Toronto Raptors,Milwaukee Bucks,0.8592399335181174
Charlotte Hornets,New York Knicks,0.754711428402095
Washington Wizards,Orlando Magic,0.612614061642426
Chicago Bulls,Philadelphia 76ers,0.9484650179575014
Minnesota Timberwolves,Phoenix Suns,0.7390549816569159
Portland Trail Blazers,New Orleans Pelicans,0.7214432246188082
Houston Rockets,Sacramento Kings,0.6477929620380302
Atlanta Hawks,Utah Jazz,0.6154613631070767
Charlotte Hornets,New York Knicks,0.7555588679052949
Golden State Warriors,Minnesota Timberwolves,0.9149630251696103
Miami Heat,Memphis Grizzlies,0.6201830771471257
Oklahoma City Thunder,Detroit Pistons,0.7089203428268932
San Antonio Spurs,Washington Wizards,0.8491875904909352
Sacramento Kings,Brooklyn Nets,0.8131664022479786
Dallas Mavericks,New Orleans Pelicans,0.6597182349222728
Los Angeles Clippers,Indiana Pacers,0.6139777921999774
Atlanta Hawks,Los Angeles Lakers,0.9358228716214175
Milwaukee Bucks,Orlando Magic,0.5196234084111654
Cleveland Cavaliers,Philadelphia 76ers,0.9805871982852161
Denver Nuggets,Phoenix Suns,0.7527057624412166
Portland Trail Blazers,Houston Rockets,0.5763197861987811
Golden State Warriors,Atlanta Hawks,0.8128639713480339
Charlotte Hornets,Memphis Grizzlies,0.6506556285374698
Boston Celtics,Miami Heat,0.5074131480560795
Utah Jazz,Minnesota Timberwolves,0.751015873526825
Oklahoma City Thunder,New York Knicks,0.8791552513013986
Toronto Raptors,Philadelphia 76ers,0.9520878812551334
Washington Wizards,Sacramento Kings,0.5915606187153098
Los Angeles Clippers,Brooklyn Nets,0.9248410543573407
Charlotte Hornets,Detroit Pistons,0.600741660184087
Cleveland Cavaliers,Milwaukee Bucks,0.8678741537128589
New Orleans Pelicans,Los Angeles Lakers,0.6929002985691959
San Antonio Spurs,Orlando Magic,0.8668331030082015
Houston Rockets,Utah Jazz,0.5034575246993843
Boston Celtics,Detroit Pistons,0.6059912763266979
Chicago Bulls,Los Angeles Lakers,0.8683655647129978
San Antonio Spurs,Dallas Mavericks,0.8498248532771201
Miami Heat,Denver Nuggets,0.756132815051636
New York Knicks,Minnesota Timberwolves,0.6210405814302198
Oklahoma City Thunder,Washington Wizards,0.7380026711951575
Atlanta Hawks,Phoenix Suns,0.8752428218660586
Portland Trail Blazers,Indiana Pacers,0.5001166337887658
Toronto Raptors,Memphis Grizzlies,0.7259452061154829
Milwaukee Bucks,Brooklyn Nets,0.8081363741555811
Charlotte Hornets,Dallas Mavericks,0.6626470317203036
Cleveland Cavaliers,Los Angeles Clippers,0.6591146844969494
Golden State Warriors,Houston Rockets,0.8727200215807199
Memphis Grizzlies,Orlando Magic,0.5031571313122745
Miami Heat,Utah Jazz,0.6164569182254865
Atlanta Hawks,Detroit Pistons,0.6001119302644425
Boston Celtics,Sacramento Kings,0.7156464264179554
Cleveland Cavaliers,Chicago Bulls,0.6780793444908606
Houston Rockets,Denver Nuggets,0.6617017722182759
Los Angeles Clippers,New Orleans Pelicans,0.8260081394897858
Minnesota Timberwolves,New York Knicks,0.5789950953885821
Orlando Magic,Philadelphia 76ers,0.9364434331436345
San Antonio Spurs,Washington Wizards,0.8311371251811918
Toronto Raptors,Los Angeles Lakers,0.9346385842612399
Charlotte Hornets,Minnesota Timberwolves,0.7318949766568353
Dallas Mavericks,Chicago Bulls,0.5188754939777731
Golden State Warriors,Phoenix Suns,0.9558156126671732
Memphis Grizzlies,Los Angeles Lakers,0.8040988443774439
Milwaukee Bucks,Brooklyn Nets,0.5508259082797945
Boston Celtics,Philadelphia 76ers,0.9705947833204136
Miami Heat,Portland Trail Blazers,0.5381811338012612
Toronto Raptors,Atlanta Hawks,0.6281701162384664
Utah Jazz,Denver Nuggets,0.5901797880872983
Detroit Pistons,Orlando Magic,0.614685609164623
Los Angeles Clippers,Indiana Pacers,0.6176361135418927
Sacramento Kings,New York Knicks,0.6039321226865474
Oklahoma City Thunder,New Orleans Pelicans,0.8428017845824572
Oklahoma City Thunder,Atlanta Hawks,0.6601969224577601
Washington Wizards,Brooklyn Nets,0.8602930063559954
Portland Trail Blazers,Chicago Bulls,0.6243764834633371
Charlotte Hornets,Dallas Mavericks,0.5833614419054225
Golden State Warriors,Indiana Pacers,0.8345202783969553
Boston Celtics,Houston Rockets,0.6427049310930246
Utah Jazz,Los Angeles Lakers,0.905385941487643
San Antonio Spurs,Milwaukee Bucks,0.9359215163208894
Memphis Grizzlies,New Orleans Pelicans,0.7052381207235532
Denver Nuggets,Philadelphia 76ers,0.9303120196887723
Toronto Raptors,Cleveland Cavaliers,0.5071706247281992
Detroit Pistons,Chicago Bulls,0.5608533512583187
Memphis Grizzlies,Philadelphia 76ers,0.8508360027107637
Miami Heat,New York Knicks,0.7449481750391672
San Antonio Spurs,Minnesota Timberwolves,0.9437514700927093
Utah Jazz,Phoenix Suns,0.7567857821755078
Washington Wizards,Orlando Magic,0.575162970305767
Atlanta Hawks,Miami Heat,0.5225734835457233
Denver Nuggets,Brooklyn Nets,0.8083808743776867
Charlotte Hornets,Detroit Pistons,0.600741660184087
Dallas Mavericks,Sacramento Kings,0.590355698686462
Houston Rockets,Los Angeles Lakers,0.8346485733239475
Golden State Warriors,Los Angeles Clippers,0.7431988169687602
Portland Trail Blazers,Milwaukee Bucks,0.8382817767970061
Cleveland Cavaliers,New York Knicks,0.8483102508470529
Boston Celtics,Orlando Magic,0.728169752491146
Indiana Pacers,Phoenix Suns,0.858009096056444
San Antonio Spurs,Chicago Bulls,0.824058550497303
Portland Trail Blazers,Memphis Grizzlies,0.7276314035960897
New Orleans Pelicans,Philadelphia 76ers,0.7581887186420855
Toronto Raptors,Minnesota Timberwolves,0.8071262176666699
Golden State Warriors,Utah Jazz,0.8656736458762211
Washington Wizards,Denver Nuggets,0.5990754757037534
Toronto Raptors,Boston Celtics,0.5752403980926839
Charlotte Hornets,Orlando Magic,0.6971068725225084
Cleveland Cavaliers,Miami Heat,0.709013851498391
Indiana Pacers,Dallas Mavericks,0.5717822520138838
Phoenix Suns,Los Angeles Lakers,0.7454164164737433
Atlanta Hawks,Milwaukee Bucks,0.8000491806560328
Detroit Pistons,Minnesota Timberwolves,0.7709872528598734
Oklahoma City Thunder,Houston Rockets,0.7379375217843973
New York Knicks,Sacramento Kings,0.5086379182656517
Miami Heat,Chicago Bulls,0.5630322925648714
Cleveland Cavaliers,Charlotte Hornets,0.7303948699684883
Houston Rockets,Dallas Mavericks,0.5152473741902427
Portland Trail Blazers,Indiana Pacers,0.6195183537092961
Los Angeles Clippers,New Orleans Pelicans,0.8070091117947223
Golden State Warriors,Memphis Grizzlies,0.8925108754924271
Denver Nuggets,Orlando Magic,0.5200172033482584
San Antonio Spurs,Brooklyn Nets,0.9386290253993441
Utah Jazz,Sacramento Kings,0.582614361825106
Washington Wizards,Milwaukee Bucks,0.5994543449164389
Detroit Pistons,Philadelphia 76ers,0.8998533040415769
New York Knicks,Los Angeles Lakers,0.8386861743164132
Golden State Warriors,Minnesota Timberwolves,0.948737346423821
Oklahoma City Thunder,Boston Celtics,0.6244712866343155
New Orleans Pelicans,Phoenix Suns,0.7000815980657261
Dallas Mavericks,Denver Nuggets,0.5978776550448419
Houston Rockets,Brooklyn Nets,0.7452988706105069
Charlotte Hornets,Indiana Pacers,0.5316547074120574
Los Angeles Clippers,Portland Trail Blazers,0.5178297576312073
Miami Heat,Washington Wizards,0.6218452949868833
Sacramento Kings,Los Angeles Lakers,0.744597617629257
Toronto Raptors,Milwaukee Bucks,0.7959203545222889
Atlanta Hawks,Orlando Magic,0.6965523601276251
Chicago Bulls,Minnesota Timberwolves,0.6587661040670134
Cleveland Cavaliers,Memphis Grizzlies,0.7932420936079271
Golden State Warriors,New Orleans Pelicans,0.9379087355837408
New York Knicks,Phoenix Suns,0.7143973174870715
Oklahoma City Thunder,Portland Trail Blazers,0.7124984903113377
Los Angeles Lakers,Brooklyn Nets,0.534621252195253
Detroit Pistons,Dallas Mavericks,0.5317171638175915
Houston Rockets,Sacramento Kings,0.5712437126198275
Cleveland Cavaliers,Memphis Grizzlies,0.7719634636495585
Miami Heat,Indiana Pacers,0.5473164510153832
Los Angeles Clippers,Orlando Magic,0.7596213558863918
Toronto Raptors,Philadelphia 76ers,0.979141576794006
San Antonio Spurs,Boston Celtics,0.743962188860602
Oklahoma City Thunder,Utah Jazz,0.7736546638621977
Charlotte Hornets,Washington Wizards,0.5821494191266194
Portland Trail Blazers,Denver Nuggets,0.7999979854290187
Golden State Warriors,New York Knicks,0.9241433926740079
Chicago Bulls,Milwaukee Bucks,0.705298283104187
Indiana Pacers,New Orleans Pelicans,0.7636614384105143
San Antonio Spurs,Phoenix Suns,0.9624190722269973
Boston Celtics,Charlotte Hornets,0.555012363760797
Chicago Bulls,Milwaukee Bucks,0.6427557606361186
Houston Rockets,New Orleans Pelicans,0.641879276202042
Memphis Grizzlies,Sacramento Kings,0.5200146877790388
Los Angeles Clippers,Miami Heat,0.5485721069680761
Orlando Magic,Brooklyn Nets,0.662725074573322
Los Angeles Lakers,Philadelphia 76ers,0.7842615036858256
Toronto Raptors,Atlanta Hawks,0.6281701162384664
Utah Jazz,Dallas Mavericks,0.5268730916150386
Detroit Pistons,Washington Wizards,0.5304758239886646
Atlanta Hawks,Charlotte Hornets,0.5489385343732435
Cleveland Cavaliers,Los Angeles Lakers,0.953940234425686
New York Knicks,Denver Nuggets,0.5240041004102945
Indiana Pacers,Detroit Pistons,0.5299735760805796
Golden State Warriors,Portland Trail Blazers,0.7702690333217097
Houston Rockets,Minnesota Timberwolves,0.7443618215291402
Oklahoma City Thunder,Phoenix Suns,0.8988256817252928
Dallas Mavericks,Sacramento Kings,0.590355698686462
Utah Jazz,Memphis Grizzlies,0.5750577423107681
Boston Celtics,Miami Heat,0.5074131480560795
Toronto Raptors,Orlando Magic,0.7920847483513697
Brooklyn Nets,Philadelphia 76ers,0.8624653055792032
